,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
0,141052209,1704922344,1704922344738,1704922345,1704922345135,0,0,0,0,4,0,141052209,0,0,1.0,0.0,96.03,0.0,0.0,96.03,0.0,LOGI,,5008170491514432642
1,141122393,1704984609,1704984609213,1704984613,1704984613323,0,0,0,2,4,0,141122393,0,1,2.0,0.0,0.0,0.0,0.0,5.82,0.0,SHA,,5008170497740901426
2,154489375,1716493409,1716493409364,1716500134,1716500134121,0,4,0,2,2,0,0,0,0,2.0,2.0,36.42,0.0,0.0,36.4,0.0,ML,,
3,154525703,1716545230,1716545230906,1716545233,1716545233171,0,0,0,0,4,0,154525703,0,0,5.0,0.0,36.31,0.0,0.0,36.31,0.0,ML,,5008171653443058059
4,156287651,1719240711,1719240711657,1719240720,1719240720645,0,0,0,2,4,0,141122393,0,1,3.0,0.0,0.0,0.0,0.0,5.38,0.0,SHA,,5008171922991105759
